Loss,LMI_category,EventID,tc_id,Iteration,LFI_ms
1548152956,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-0,0-0,0,28.74537614
77066118.69,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-1,0-1,0,22.9
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-2,0-2,0,
323794.0219,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-3,0-3,0,
453319230.9,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-4,0-4,0,41
2691392068,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-5,0-5,0,
76986272571,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-6,0-6,0,57.84460887
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-7,0-7,0,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-8,0-8,0,16.5258516
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-9,0-9,0,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-0-10,0-10,0,
27303744940,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-0,1-0,1,52.1
676093790.3,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-1,01. Jan,1,29
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-2,01. Feb,1,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-3,01. Mär,1,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-4,01. Apr,1,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-5,01. Mai,1,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-6,01. Jun,1,
16732169.08,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-7,01. Jul,1,26.93184197
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-1-8,01. Aug,1,
0,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-0,2-0,2,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-1,02. Jan,2,
37508966.54,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-2,02. Feb,2,28.90696208
0,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-3,02. Mär,2,
641246.0921,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-4,02. Apr,2,
1452.956221,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-5,02. Mai,2,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-6,02. Jun,2,
3080075.88,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-7,02. Jul,2,16.8688083
13856.91668,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-8,02. Aug,2,
356623223.5,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-2-9,02. Sep,2,26
