Name,Number,Lat,Lon
GOM,1,13.0,-85.0
GOM,1,19.0,-99.0
GOM,1,32.0,-99.0
GOM,1,32.0,-83.0
GOM,1,30.5,-83.0
GOM,1,30.5,-82.0
GOM,1,27.0,-82.0
GOM,1,27.0,-81.0
GOM,1,24.3,-81.0
GOM,1,24.3,-81.0
GOM,1,24.3,"   	-86"
GOM,1,"		 16","  	-86"
GOM,1,16.0,-81.0
GOM,1,8.5,-81.0
GOM,1,8.5,-82.0
GOM,1,11.0,-85.0
GOM,1,13.0,-85.0
CARB,2,24.3,-86.0
CARB,2,24.3,-63.5
CARB,2,0.0,-63.5
CARB,2,0.0,-75.0
CARB,2,7.5,-75.0
CARB,2,7.5,-77.6
CARB,2,8.5,-77.6
CARB,2,9.4,-79.1
CARB,2,8.5,-81.0
CARB,2,16.0,-81.0
CARB,2,16.0,-86.0
MDR,3,24.3,-63.5
MDR,3,24.3,0.0
MDR,3,0.0,0.0
MDR,3,0.0,-63.5
NA ,4,27.0,-81.0
NA ,4,27.0,-82.0
NA ,4,30.5,-82.0
NA ,4,30.5,-83.0
NA ,4,50.0,-83.0
NA ,4,50.0,-83.0
NA ,4,50.0,0.0
NA ,4,24.3,0.0
NA ,4,24.3,-81.0
